tick,population,speed,vision,size,hungry,fertility
16964,110,1.1954193337147645,78.71335465629595,12.111676689202968,32.42672731384213,69.0749820690562
16965,110,1.1954193337147645,78.71335465629595,12.111676689202968,32.42672731384213,69.0749820690562
16966,110,1.1954193337147645,78.71335465629595,12.111676689202968,32.42672731384213,69.0749820690562
16967,110,1.1954193337147645,78.71335465629595,12.111676689202968,32.42672731384213,69.0749820690562
16968,111,1.1946503377550297,78.77723218051806,12.109560705410086,32.46817383424956,69.01677815353005
16969,111,1.1946503377550297,78.77723218051806,12.109560705410086,32.46817383424956,69.01677815353005
16970,112,1.195044489256625,78.72902144159909,12.106448134478855,32.45573774032885,68.96070491904256
16971,112,1.195044489256625,78.72902144159909,12.106448134478855,32.45573774032885,68.96070491904256
16972,112,1.195044489256625,78.72902144159909,12.106448134478855,32.45573774032885,68.96070491904256
16973,112,1.195044489256625,78.72902144159909,12.106448134478855,32.45573774032885,68.96070491904256
16974,112,1.195044489256625,78.72902144159909,12.106448134478855,32.45573774032885,68.96070491904256
16975,112,1.195044489256625,78.72902144159909,12.106448134478855,32.45573774032885,68.96070491904256
16976,112,1.195044489256625,78.72902144159909,12.106448134478855,32.45573774032885,68.96070491904256
16977,112,1.195044489256625,78.72902144159909,12.106448134478855,32.45573774032885,68.96070491904256
16978,113,1.1946839140686312,78.79371728500797,12.102813352333735,32.49569266307315,68.94922221212852
16979,112,1.1951604056644147,78.7270484799975,12.110516269599064,32.481155622509114,68.97227794567253
16980,112,1.1951604056644147,78.7270484799975,12.110516269599064,32.481155622509114,68.97227794567253
16981,112,1.1951604056644147,78.7270484799975,12.110516269599064,32.481155622509114,68.97227794567253
16982,112,1.1951604056644147,78.7270484799975,12.110516269599064,32.481155622509114,68.97227794567253
16983,110,1.1916911396836247,78.81032382810264,12.13103791720034,32.528048128330894,68.9186839049547
16984,110,1.1916911396836247,78.81032382810264,12.13103791720034,32.528048128330894,68.9186839049547
16985,110,1.1916911396836247,78.81032382810264,12.13103791720034,32.528048128330894,68.9186839049547
16986,110,1.1916911396836247,78.81032382810264,12.13103791720034,32.528048128330894,68.9186839049547
16987,109,1.1905007081416377,78.64481966507381,12.133046340576692,32.54917189658425,68.87560167515959
16988,109,1.1905007081416377,78.64481966507381,12.133046340576692,32.54917189658425,68.87560167515959
16989,108,1.191713902405679,78.57035555121473,12.130586109021706,32.58180363230761,68.90906576239401
16990,108,1.191713902405679,78.57035555121473,12.130586109021706,32.58180363230761,68.90906576239401
16991,109,1.192481270053836,78.47149264672217,12.126687267254855,32.55089107205751,68.96429032864496
16992,109,1.192481270053836,78.47149264672217,12.126687267254855,32.55089107205751,68.96429032864496
16993,109,1.192481270053836,78.47149264672217,12.126687267254855,32.55089107205751,68.96429032864496
16994,109,1.192481270053836,78.47149264672217,12.126687267254855,32.55089107205751,68.96429032864496
16995,108,1.19177128622393,78.41978161990345,12.130623952871291,32.569163735935206,68.95009816709955
16996,109,1.1931232519980854,78.48063397731444,12.121533759519714,32.53092991537954,68.96862918774254
16997,110,1.1930996377950527,78.41941993819475,12.12224396441408,32.568595628140095,68.9906140150162
16998,110,1.1930996377950527,78.41941993819475,12.12224396441408,32.568595628140095,68.9906140150162
16999,111,1.1922539776980843,78.2984121382721,12.132557670163315,32.50507000581439,69.04630845974287
17000,111,1.1922539776980843,78.2984121382721,12.132557670163315,32.50507000581439,69.04630845974287
17001,112,1.1921241010711285,78.1982468616947,12.1541592055546,32.48061740516799,69.10803904009772
17002,111,1.1928834318086357,78.10299758127638,12.162045073472111,32.46744474356677,69.13504223952394
17003,111,1.1928834318086357,78.10299758127638,12.162045073472111,32.46744474356677,69.13504223952394
17004,111,1.1928834318086357,78.10299758127638,12.162045073472111,32.46744474356677,69.13504223952394
17005,111,1.1928834318086357,78.10299758127638,12.162045073472111,32.46744474356677,69.13504223952394
17006,111,1.1928834318086357,78.10299758127638,12.162045073472111,32.46744474356677,69.13504223952394
17007,111,1.1928834318086357,78.10299758127638,12.162045073472111,32.46744474356677,69.13504223952394
17008,111,1.1928834318086357,78.10299758127638,12.162045073472111,32.46744474356677,69.13504223952394
17009,110,1.1928210600722065,78.19830381106499,12.147427134400964,32.457841004399754,69.09123946048264
17010,109,1.1924017446949167,78.31516521188729,12.150698495586921,32.42348201528205,69.02348251765214
17011,109,1.1924017446949167,78.31516521188729,12.150698495586921,32.42348201528205,69.02348251765214
17012,109,1.1924017446949167,78.31516521188729,12.150698495586921,32.42348201528205,69.02348251765214
17013,109,1.1924017446949167,78.31516521188729,12.150698495586921,32.42348201528205,69.02348251765214
17014,109,1.1924017446949167,78.31516521188729,12.150698495586921,32.42348201528205,69.02348251765214
17015,108,1.1928422465701194,78.27235793572594,12.141808763460157,32.388382500221354,69.06473781670836
17016,108,1.1928422465701194,78.27235793572594,12.141808763460157,32.388382500221354,69.06473781670836
17017,108,1.1928422465701194,78.27235793572594,12.141808763460157,32.388382500221354,69.06473781670836
17018,109,1.192225732914013,78.30030367993062,12.152637300797782,32.409863915834194,69.01369282603679
17019,109,1.192225732914013,78.30030367993062,12.152637300797782,32.409863915834194,69.01369282603679
17020,108,1.192982534387925,78.40311579944502,12.150908220848235,32.41142207693339,68.84840554288246
17021,107,1.193548196835951,78.30581067498122,12.149856842105228,32.440724481993385,68.8074450794802
17022,107,1.1944136003605208,78.35323288930066,12.177448788069483,32.39292881686101,68.84784648683659
17023,107,1.1944136003605208,78.35323288930066,12.177448788069483,32.39292881686101,68.84784648683659
17024,107,1.1944136003605208,78.35323288930066,12.177448788069483,32.39292881686101,68.84784648683659
17025,107,1.1944136003605208,78.35323288930066,12.177448788069483,32.39292881686101,68.84784648683659
17026,107,1.1944136003605208,78.35323288930066,12.177448788069483,32.39292881686101,68.84784648683659
17027,107,1.1944136003605208,78.35323288930066,12.177448788069483,32.39292881686101,68.84784648683659
17028,107,1.1944136003605208,78.35323288930066,12.177448788069483,32.39292881686101,68.84784648683659
17029,108,1.1941812313634916,78.37599693511258,12.178719921387358,32.43608486754918,68.83595176122553
17030,108,1.1941812313634916,78.37599693511258,12.178719921387358,32.43608486754918,68.83595176122553
17031,108,1.1941812313634916,78.37599693511258,12.178719921387358,32.43608486754918,68.83595176122553
17032,108,1.1941812313634916,78.37599693511258,12.178719921387358,32.43608486754918,68.83595176122553
17033,108,1.1941812313634916,78.37599693511258,12.178719921387358,32.43608486754918,68.83595176122553
17034,108,1.1941812313634916,78.37599693511258,12.178719921387358,32.43608486754918,68.83595176122553
17035,108,1.1941812313634916,78.37599693511258,12.178719921387358,32.43608486754918,68.83595176122553
17036,108,1.1941812313634916,78.37599693511258,12.178719921387358,32.43608486754918,68.83595176122553
17037,107,1.1955050046601814,78.4762950045592,12.182139672531843,32.47782666458038,68.8980066864518
17038,107,1.1955050046601814,78.4762950045592,12.182139672531843,32.47782666458038,68.8980066864518
17039,107,1.1955050046601814,78.4762950045592,12.182139672531843,32.47782666458038,68.8980066864518
17040,106,1.195829129514355,78.42466024752628,12.177802660892498,32.450476687203164,68.95453050108983
17041,106,1.195829129514355,78.42466024752628,12.177802660892498,32.450476687203164,68.95453050108983
17042,106,1.195829129514355,78.42466024752628,12.177802660892498,32.450476687203164,68.95453050108983
17043,106,1.1963776669434378,78.30536929521693,12.192266354967574,32.425295217386164,68.89340014412213
17044,106,1.1963776669434378,78.30536929521693,12.192266354967574,32.425295217386164,68.89340014412213
17045,106,1.1963776669434378,78.30536929521693,12.192266354967574,32.425295217386164,68.89340014412213
17046,106,1.1963776669434378,78.30536929521693,12.192266354967574,32.425295217386164,68.89340014412213
17047,106,1.1963776669434378,78.30536929521693,12.192266354967574,32.425295217386164,68.89340014412213
17048,107,1.1958126712036095,78.32356802141278,12.20391077763649,32.446532960975595,68.85791730864653
17049,107,1.1958126712036095,78.32356802141278,12.20391077763649,32.446532960975595,68.85791730864653
17050,108,1.1982915698682348,78.37934557409383,12.190987837375006,32.4213074002993,68.86255901860429
17051,108,1.1982915698682348,78.37934557409383,12.190987837375006,32.4213074002993,68.86255901860429
17052,108,1.1982915698682348,78.37934557409383,12.190987837375006,32.4213074002993,68.86255901860429
17053,108,1.1982915698682348,78.37934557409383,12.190987837375006,32.4213074002993,68.86255901860429
17054,107,1.1974815995197723,78.33403400217985,12.173670620192853,32.41673987030422,68.86433990762897
17055,107,1.1974815995197723,78.33403400217985,12.173670620192853,32.41673987030422,68.86433990762897
17056,107,1.1974815995197723,78.33403400217985,12.173670620192853,32.41673987030422,68.86433990762897
17057,107,1.1974815995197723,78.33403400217985,12.173670620192853,32.41673987030422,68.86433990762897
17058,107,1.1974815995197723,78.33403400217985,12.173670620192853,32.41673987030422,68.86433990762897
17059,107,1.1974815995197723,78.33403400217985,12.173670620192853,32.41673987030422,68.86433990762897
17060,107,1.1974815995197723,78.33403400217985,12.173670620192853,32.41673987030422,68.86433990762897
17061,107,1.1974815995197723,78.33403400217985,12.173670620192853,32.41673987030422,68.86433990762897
17062,107,1.1974815995197723,78.33403400217985,12.173670620192853,32.41673987030422,68.86433990762897
17063,108,1.1981800946905947,78.24561326443326,12.175283432015085,32.37627396579802,68.92904636026627
17064,108,1.1981800946905947,78.24561326443326,12.175283432015085,32.37627396579802,68.92904636026627
17065,108,1.1981800946905947,78.24561326443326,12.175283432015085,32.37627396579802,68.92904636026627
17066,108,1.1981800946905947,78.24561326443326,12.175283432015085,32.37627396579802,68.92904636026627
17067,107,1.196951528894435,78.3467036898918,12.178219305763447,32.40752725330293,68.8596858465996
17068,108,1.1958964535343444,78.41784251297348,12.188074742886167,32.395661906015576,68.85280996550806
17069,109,1.1966223536138505,78.40646740631641,12.178600205240942,32.376336901565466,68.83722847892797
17070,109,1.1966223536138505,78.40646740631641,12.178600205240942,32.376336901565466,68.83722847892797
17071,109,1.1966223536138505,78.40646740631641,12.178600205240942,32.376336901565466,68.83722847892797
17072,109,1.1966223536138505,78.40646740631641,12.178600205240942,32.376336901565466,68.83722847892797
17073,109,1.1966223536138505,78.40646740631641,12.178600205240942,32.376336901565466,68.83722847892797
17074,108,1.1956583037556565,78.3909896323309,12.188194216095187,32.387034685113946,68.8165901022561
17075,108,1.1956583037556565,78.3909896323309,12.188194216095187,32.387034685113946,68.8165901022561
17076,108,1.1956583037556565,78.3909896323309,12.188194216095187,32.387034685113946,68.8165901022561
17077,108,1.1956583037556565,78.3909896323309,12.188194216095187,32.387034685113946,68.8165901022561
17078,108,1.1956583037556565,78.3909896323309,12.188194216095187,32.387034685113946,68.8165901022561
17079,108,1.1956583037556565,78.3909896323309,12.188194216095187,32.387034685113946,68.8165901022561
17080,107,1.1959194494145475,78.34472140850718,12.186247588524509,32.3492094401511,68.86675035857965
17081,107,1.1959194494145475,78.34472140850718,12.186247588524509,32.3492094401511,68.86675035857965
17082,107,1.1959194494145475,78.34472140850718,12.186247588524509,32.3492094401511,68.86675035857965
17083,108,1.1968321358732292,78.39558437177759,12.182801858872743,32.3376690625487,68.89781622208082
17084,108,1.1968321358732292,78.39558437177759,12.182801858872743,32.3376690625487,68.89781622208082
17085,109,1.197445307464251,78.46525250273884,12.181471596715685,32.39065517114392,68.81917889548752
17086,108,1.1967280647744616,78.36416251744895,12.184885217820467,32.35916471820673,68.85972385380819
17087,108,1.1967280647744616,78.36416251744895,12.184885217820467,32.35916471820673,68.85972385380819
17088,107,1.1969150411783205,78.42095020830978,12.192309647564162,32.3180915418584,68.81389306894654
17089,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17090,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17091,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17092,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17093,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17094,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17095,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17096,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17097,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17098,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17099,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17100,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17101,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17102,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17103,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17104,107,1.1956114634201118,78.62598312477176,12.199508833257838,32.2677526450758,68.8185800771776
17105,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17106,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17107,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17108,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17109,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17110,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17111,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17112,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17113,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17114,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17115,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17116,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17117,109,1.1960313895090016,78.6353066407499,12.225089676733214,32.32697685691005,68.8233766190483
17118,110,1.1959622709276196,78.50626408323981,12.224679742325419,32.347241761294505,68.85482841949224
17119,112,1.1957194166846754,78.63147615368025,12.214960095243034,32.35039553469732,68.95166412081927
17120,112,1.1957194166846754,78.63147615368025,12.214960095243034,32.35039553469732,68.95166412081927
17121,111,1.1952863033048184,78.55493476515298,12.220788780087576,32.33498616636019,68.97776896657885
17122,111,1.1952863033048184,78.55493476515298,12.220788780087576,32.33498616636019,68.97776896657885
17123,111,1.1952863033048184,78.55493476515298,12.220788780087576,32.33498616636019,68.97776896657885
17124,111,1.1952863033048184,78.55493476515298,12.220788780087576,32.33498616636019,68.97776896657885
17125,112,1.196417192356036,78.54934322709492,12.210844505036249,32.31664839474597,69.0275652774995
17126,112,1.196417192356036,78.54934322709492,12.210844505036249,32.31664839474597,69.0275652774995
17127,112,1.196417192356036,78.54934322709492,12.210844505036249,32.31664839474597,69.0275652774995
17128,112,1.196417192356036,78.54934322709492,12.210844505036249,32.31664839474597,69.0275652774995
17129,112,1.196417192356036,78.54934322709492,12.210844505036249,32.31664839474597,69.0275652774995
17130,112,1.196417192356036,78.54934322709492,12.210844505036249,32.31664839474597,69.0275652774995
