tick,population,speed,vision,size,hungry,fertility
9205,98,1.015576833,77.87782005,12.46323822,31.24386713,84.81238057
9206,98,1.015576833,77.87782005,12.46323822,31.24386713,84.81238057
9207,97,1.015753325,77.83006025,12.46516132,31.30198556,84.74993559
9208,97,1.015753325,77.83006025,12.46516132,31.30198556,84.74993559
9209,97,1.015753325,77.83006025,12.46516132,31.30198556,84.74993559
9210,98,1.015699322,77.81679934,12.45929312,31.28805329,84.74854747
9211,98,1.015699322,77.81679934,12.45929312,31.28805329,84.74854747
9212,98,1.015699322,77.81679934,12.45929312,31.28805329,84.74854747
9213,97,1.016252693,77.86136097,12.4672988,31.29388243,84.73671828
9214,97,1.016252693,77.86136097,12.4672988,31.29388243,84.73671828
9215,97,1.016252693,77.86136097,12.4672988,31.29388243,84.73671828
9216,97,1.016252693,77.86136097,12.4672988,31.29388243,84.73671828
9217,97,1.016252693,77.86136097,12.4672988,31.29388243,84.73671828
9218,97,1.016252693,77.86136097,12.4672988,31.29388243,84.73671828
9219,97,1.016252693,77.86136097,12.4672988,31.29388243,84.73671828
9220,98,1.015122195,77.87504163,12.47751256,31.31413356,84.68890473
9221,99,1.015595001,77.78081007,12.48172864,31.27941867,84.60395772
9222,98,1.015866355,77.84639484,12.48239453,31.26588214,84.68926742
9223,98,1.015866355,77.84639484,12.48239453,31.26588214,84.68926742
9224,98,1.015866355,77.84639484,12.48239453,31.26588214,84.68926742
9225,99,1.015800206,77.76923688,12.49039113,31.26592425,84.61174917
9226,99,1.015800206,77.76923688,12.49039113,31.26592425,84.61174917
9227,99,1.015800206,77.76923688,12.49039113,31.26592425,84.61174917
9228,99,1.015800206,77.76923688,12.49039113,31.26592425,84.61174917
9229,99,1.015800206,77.76923688,12.49039113,31.26592425,84.61174917
9230,100,1.015094359,77.81914775,12.50010532,31.31873423,84.6086919
9231,100,1.015094359,77.81914775,12.50010532,31.31873423,84.6086919
9232,100,1.015094359,77.81914775,12.50010532,31.31873423,84.6086919
9233,100,1.015094359,77.81914775,12.50010532,31.31873423,84.6086919
9234,100,1.015094359,77.81914775,12.50010532,31.31873423,84.6086919
9235,100,1.015094359,77.81914775,12.50010532,31.31873423,84.6086919
9236,100,1.015094359,77.81914775,12.50010532,31.31873423,84.6086919
9237,100,1.015094359,77.81914775,12.50010532,31.31873423,84.6086919
9238,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9239,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9240,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9241,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9242,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9243,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9244,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9245,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9246,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9247,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9248,99,1.01449789,77.87915053,12.49113825,31.35126039,84.65049548
9249,98,1.014923737,77.89467552,12.48092536,31.33618005,84.68307538
9250,98,1.014923737,77.89467552,12.48092536,31.33618005,84.68307538
9251,98,1.014923737,77.89467552,12.48092536,31.33618005,84.68307538
9252,98,1.014923737,77.89467552,12.48092536,31.33618005,84.68307538
9253,98,1.014923737,77.89467552,12.48092536,31.33618005,84.68307538
9254,98,1.014923737,77.89467552,12.48092536,31.33618005,84.68307538
9255,97,1.014596448,77.87728455,12.48047495,31.32105094,84.65379548
9256,97,1.014596448,77.87728455,12.48047495,31.32105094,84.65379548
9257,96,1.014431965,77.81104239,12.49343476,31.3612014,84.68326007
9258,96,1.014431965,77.81104239,12.49343476,31.3612014,84.68326007
9259,96,1.014431965,77.81104239,12.49343476,31.3612014,84.68326007
9260,96,1.014431965,77.81104239,12.49343476,31.3612014,84.68326007
9261,96,1.014431965,77.81104239,12.49343476,31.3612014,84.68326007
9262,96,1.014431965,77.81104239,12.49343476,31.3612014,84.68326007
9263,96,1.014431965,77.81104239,12.49343476,31.3612014,84.68326007
9264,96,1.014431965,77.81104239,12.49343476,31.3612014,84.68326007
